,predicted_position,probability,driverId,real_position,forename,surname
0,1,0.2760723862968884,4.0,2.0,Fernando,Alonso
1,2,0.20502162846179645,8.0,-1.0,Kimi,Räikkönen
2,3,0.16159420934117155,18.0,4.0,Jenson,Button
3,4,0.15316440755725408,21.0,3.0,Giancarlo,Fisichella
4,5,0.14560637001883092,30.0,1.0,Michael,Schumacher
5,6,0.11793928442400978,22.0,6.0,Rubens,Barrichello
6,7,0.07276697537059718,13.0,-1.0,Felipe,Massa
7,8,0.05366966337376633,2.0,7.0,Nick,Heidfeld
8,9,0.02943722002441515,23.0,-1.0,Ralf,Schumacher
9,10,0.029279074956203178,15.0,-1.0,Jarno,Trulli
10,11,0.026732687513672714,14.0,9.0,David,Coulthard
11,12,0.025203440380831766,17.0,8.0,Mark,Webber
12,13,0.02325558843264422,33.0,-1.0,Tiago,Monteiro
13,14,0.02262739012287189,27.0,15.0,Christijan,Albers
14,15,0.02262739012287189,11.0,-1.0,Takuma,Sato
